cpu_usage,network_usage,data_transfer_gb,active_hours,emission_estimate,label
47,195,17,11,6.16,1
61,54,10,12,3.41,0
80,25,32,6,4.5,1
6,151,20,18,4.2,1
51,160,14,17,5.43,1
31,102,35,7,4.72,1
67,179,36,4,7.39,1
64,35,33,3,4.27,1
66,151,39,6,6.95,1
47,41,8,4,2.63,0
88,43,47,5,5.85,1
30,169,18,4,5.18,1
81,132,39,19,7.02,1
38,168,29,8,5.95,1
68,69,2,15,3.52,1
67,55,42,6,5.21,1
39,172,22,9,5.71,1
72,156,38,9,7.18,1
68,48,30,23,4.5,1
78,81,48,22,6.36,1
21,67,13,4,2.62,0
54,38,35,24,4.13,1
48,24,36,8,3.72,1
41,193,40,6,7.09,1
75,32,2,24,2.99,0
51,111,12,21,4.35,1
69,26,44,8,4.79,1
24,147,9,20,4.11,1
26,80,31,7,3.93,1
50,174,21,5,6.03,1
78,27,19,14,3.83,1
57,112,46,2,6.25,1
75,89,13,20,4.68,1
75,125,37,17,6.6,1
6,135,30,6,4.38,1
28,157,7,24,4.33,1
30,181,18,11,5.42,1
86,51,43,16,5.75,1
66,195,33,21,7.53,1
29,151,29,22,5.34,1
68,41,49,17,5.31,1
21,71,37,21,3.9,1
5,166,46,9,5.77,1
60,159,5,1,5.23,1
26,135,15,1,4.23,1
13,105,16,7,3.29,0
40,66,29,24,3.97,1
5,123,18,15,3.51,1
30,131,33,19,5.17,1
68,52,19,1,4.03,1
11,65,6,6,1.93,0
6,94,34,17,3.76,1
15,169,12,19,4.43,1
50,52,29,18,3.99,1
41,132,37,6,5.72,1
85,90,40,15,6.35,1
15,111,28,18,4.07,1
5,102,36,17,3.99,1
33,161,45,13,6.46,1
14,96,44,18,4.54,1
65,126,3,20,4.62,1
36,39,16,24,2.66,0
22,118,21,7,4.07,1
49,99,34,19,5.15,1
50,148,43,6,6.61,1
81,166,28,19,7.15,1
35,172,11,15,5.04,1
53,131,24,5,5.41,1
87,112,6,21,5.15,1
67,156,28,17,6.53,1
78,24,23,23,3.97,1
71,183,38,13,7.69,1
20,151,25,21,4.87,1
50,69,42,11,4.98,1
46,102,48,18,5.82,1
79,184,5,19,6.3,1
8,181,18,5,4.76,1
60,129,22,2,5.48,1
17,71,21,6,2.98,0
7,23,32,10,2.27,0
88,45,42,3,5.64,1
39,130,29,8,5.22,1
48,21,38,21,3.76,1
41,113,14,13,4.19,1
84,51,9,8,3.99,1
34,170,29,9,5.87,1
69,125,11,21,5.12,1
63,148,35,21,6.6,1
44,43,1,16,2.23,0
87,75,43,14,6.26,1
10,160,37,6,5.35,1
61,165,4,13,5.33,1
68,151,49,17,7.51,1
13,78,50,8,4.45,1
91,141,13,1,6.2,1
35,94,45,17,5.18,1
9,53,45,23,3.58,1
85,36,47,23,5.62,1
8,74,17,17,2.57,0
45,91,25,22,4.42,1
43,137,46,2,6.33,1
41,130,18,21,4.73,1
46,44,9,10,2.71,0
15,156,13,14,4.22,1
17,101,8,12,2.93,0
24,177,49,19,6.71,1
82,132,3,16,5.25,1
36,33,45,3,3.99,1
66,126,20,19,5.5,1
48,109,6,17,3.92,1
13,40,11,6,1.74,0
16,162,11,2,4.27,1
6,81,39,21,3.75,1
44,60,24,16,3.72,1
84,160,27,13,7.07,1
53,133,32,14,5.85,1
80,171,9,6,6.27,1
62,194,14,10,6.44,1
61,50,42,11,4.93,1
56,123,38,9,6.04,1
91,142,43,13,7.72,1
65,29,45,5,4.78,1
73,48,8,8,3.55,1
58,91,50,10,6.06,1
30,134,33,23,5.23,1
83,120,5,10,5.14,1
80,200,37,1,8.25,1
25,174,18,23,5.13,1
27,106,49,12,5.38,1
70,149,39,24,7.03,1
57,131,50,14,6.83,1
60,180,36,11,7.2,1
57,68,45,14,5.32,1
52,94,46,15,5.74,1
74,109,19,16,5.35,1
50,133,26,21,5.46,1
60,127,7,16,4.69,1
54,116,24,11,5.14,1
56,80,42,3,5.38,1
12,122,2,19,2.9,0
48,72,3,17,3.03,0
22,152,21,12,4.75,1
42,38,35,13,3.77,1
60,179,46,13,7.68,1
58,188,38,16,7.4,1
75,26,19,7,3.72,1
15,187,22,20,5.29,1
28,193,27,2,6.05,1
21,96,3,6,2.7,0
6,29,33,15,2.41,0
54,64,11,12,3.45,0
60,200,47,6,8.15,1
11,104,40,4,4.41,1
7,85,45,18,4.16,1
8,102,13,10,2.93,0
56,95,17,13,4.43,1
90,64,16,22,4.78,1
84,184,35,19,7.95,1
81,97,37,3,6.22,1
78,184,6,6,6.32,1
37,28,20,17,2.67,0
32,162,27,11,5.55,1
30,93,39,15,4.71,1
7,160,1,23,3.46,0
30,77,45,23,4.69,1
89,107,37,17,6.66,1
46,87,26,24,4.42,1
93,83,26,6,5.75,1
47,121,5,9,4.08,1
83,155,19,24,6.54,1
80,134,35,17,6.83,1
72,190,34,8,7.66,1
22,29,28,21,2.64,0
9,114,48,18,4.95,1
52,116,8,2,4.28,1
77,147,2,24,5.35,1
43,36,30,5,3.51,1
39,140,43,24,6.12,1
53,186,16,4,6.11,1
88,75,33,3,5.79,1
91,114,46,6,7.31,1
29,48,45,10,4.08,1
14,27,43,15,3.11,0
60,75,1,18,3.35,0
44,177,40,8,6.86,1
91,183,26,19,7.69,1
45,32,19,5,2.94,0
93,185,11,24,7.04,1
69,39,39,20,4.8,1
38,121,10,17,4.06,1
64,131,15,4,5.29,1
50,103,44,4,5.76,1
80,174,41,3,7.93,1
21,88,21,3,3.44,0
90,172,35,9,7.89,1
52,136,2,24,4.38,1
32,124,38,17,5.34,1
28,104,21,21,3.97,1
74,176,5,15,5.99,1
78,186,27,15,7.41,1
68,55,48,1,5.54,1
21,146,33,6,5.2,1
68,194,46,5,8.22,1
25,66,25,14,3.32,0
81,43,39,9,5.24,1
69,48,2,12,3.13,0
33,29,15,1,2.32,0
93,116,47,5,7.46,1
26,170,27,4,5.53,1
19,186,14,9,4.99,1
73,125,9,12,5.14,1
58,173,5,8,5.45,1
52,115,9,22,4.31,1
76,153,35,17,7.09,1
20,45,48,18,3.9,1
29,64,19,4,3.1,0
9,20,8,18,1.07,0
9,113,23,6,3.68,1
69,88,13,15,4.48,1
27,37,33,16,3.2,0
62,92,45,4,5.95,1
95,126,4,6,5.57,1
16,113,39,18,4.69,1
32,147,17,12,4.75,1
38,57,36,24,4.08,1
63,198,34,24,7.55,1
46,102,35,17,5.17,1
33,140,24,15,4.99,1
12,190,42,24,6.26,1
95,89,8,23,5.03,1
77,56,48,15,5.83,1
53,157,1,4,4.78,1
88,163,48,20,8.3,1
94,79,32,1,6.0,1
88,48,32,10,5.2,1
92,53,16,1,4.62,1
52,88,21,13,4.37,1
57,88,27,22,4.82,1
84,159,20,3,6.7,1
69,199,48,1,8.45,1
35,98,12,17,3.61,1
91,25,23,17,4.38,1
88,139,44,10,7.62,1
9,124,40,9,4.75,1
61,139,39,10,6.56,1
95,49,3,19,3.98,1
21,164,46,17,6.21,1
88,149,17,24,6.47,1
31,83,48,15,4.99,1
74,60,13,14,4.07,1
86,147,34,10,7.22,1
87,61,37,22,5.68,1
39,48,19,22,3.08,0
31,118,29,22,4.74,1
29,194,31,18,6.3,1
93,102,27,15,6.18,1
75,57,13,22,4.04,1
38,187,29,3,6.33,1
51,143,41,17,6.44,1
89,193,21,20,7.58,1
6,163,8,10,3.84,1
55,54,26,7,4.03,1
29,39,11,12,2.2,0
93,76,49,7,6.76,1
57,157,2,13,4.95,1
82,110,38,17,6.56,1
39,163,8,11,4.83,1
73,159,27,7,6.72,1
16,26,13,3,1.65,0
45,133,28,9,5.41,1
80,100,24,13,5.6,1
18,145,37,12,5.29,1
26,185,34,21,6.18,1
16,192,25,15,5.57,1
69,136,40,18,6.79,1
72,143,42,1,7.12,1
28,76,12,17,2.96,0
26,43,7,22,1.99,0
37,35,15,1,2.56,0
12,34,49,11,3.49,0
24,115,22,14,4.12,1
84,119,7,24,5.25,1
65,62,12,2,3.79,1
17,96,35,8,4.18,1
67,150,13,3,5.66,1
70,116,37,4,6.27,1
68,164,10,11,5.82,1
60,156,40,24,6.92,1
27,21,31,4,2.78,0
76,117,15,19,5.37,1
58,65,11,23,3.59,1
33,28,34,20,3.25,0
38,175,45,2,6.89,1
36,113,33,10,4.99,1
48,94,30,9,4.82,1
74,165,25,9,6.77,1
14,34,27,7,2.45,0
8,94,33,19,3.77,1
14,99,8,14,2.8,0
83,132,19,5,6.08,1
18,85,43,22,4.39,1
15,168,35,4,5.56,1
71,72,1,4,3.62,1
50,146,47,13,6.77,1
78,129,37,13,6.77,1
61,39,14,11,3.31,0
60,48,15,18,3.51,1
13,89,44,18,4.37,1
52,76,48,2,5.48,1
50,151,8,3,4.92,1
82,60,5,16,3.91,1
30,101,49,18,5.37,1
74,91,33,7,5.69,1
84,184,40,12,8.2,1
52,121,21,1,5.03,1
92,95,15,10,5.41,1
31,165,46,17,6.53,1
42,183,11,16,5.47,1
46,46,44,19,4.5,1
62,84,44,16,5.74,1
5,127,17,13,3.54,1
11,147,18,5,4.17,1
57,135,23,5,5.56,1
78,100,39,14,6.29,1
57,157,39,7,6.8,1
14,173,16,24,4.68,1
88,84,23,21,5.47,1
93,131,26,19,6.71,1
54,118,18,15,4.88,1
28,181,13,11,5.11,1
63,117,5,2,4.48,1
83,167,4,9,6.03,1
27,24,31,1,2.84,0
57,68,48,4,5.47,1
78,66,8,16,4.06,1
62,103,1,18,3.97,1
42,157,12,3,5.0,1
37,86,31,3,4.38,1
24,118,29,14,4.53,1
56,29,50,15,4.76,1
28,167,37,16,6.03,1
87,40,31,10,4.96,1
30,100,29,13,4.35,1
93,98,25,12,6.0,1
43,189,10,4,5.57,1
80,125,21,14,5.95,1
67,107,33,1,5.8,1
92,174,42,1,8.34,1
62,35,20,17,3.56,1
89,27,2,4,3.31,0
51,194,37,24,7.26,1
89,131,11,18,5.84,1
77,71,12,23,4.33,1
89,49,42,15,5.75,1
68,138,2,18,4.9,1
83,35,45,18,5.44,1
19,35,44,9,3.47,0
18,76,50,16,4.56,1
58,44,50,5,5.12,1
21,103,25,10,3.94,1
88,36,1,12,3.41,0
9,27,39,1,2.76,0
7,107,39,16,4.3,1
52,192,46,24,7.7,1
89,146,8,7,5.99,1
75,145,5,16,5.4,1
20,171,24,9,5.22,1
8,83,31,3,3.45,0
79,78,49,8,6.38,1
57,153,30,19,6.27,1
11,32,10,10,1.47,0
31,140,27,11,5.08,1
75,44,13,23,3.78,1
52,113,19,23,4.77,1
77,96,19,1,5.18,1
45,56,12,23,3.07,0
75,121,13,13,5.32,1
15,62,47,3,4.04,1
78,93,2,20,4.3,1
80,150,36,18,7.2,1
70,115,6,22,4.7,1
25,107,6,19,3.19,0
65,53,9,23,3.46,0
11,119,18,24,3.61,1
13,175,13,15,4.54,1
46,109,14,19,4.26,1
73,194,39,2,8.02,1
36,23,45,24,3.79,1
59,113,17,5,4.88,1
26,22,44,21,3.42,0
22,94,47,24,4.89,1
46,136,22,1,5.2,1
23,144,46,21,5.87,1
91,199,26,20,8.01,1
17,150,22,20,4.61,1
49,117,43,12,5.96,1
56,147,44,8,6.82,1
39,54,25,10,3.5,0
46,87,31,21,4.67,1
63,88,21,14,4.7,1
31,30,24,14,2.73,0
79,185,22,11,7.17,1
87,108,50,11,7.27,1
61,173,34,14,6.99,1
95,54,17,6,4.78,1
39,25,35,12,3.42,0
34,107,5,18,3.41,0
65,27,38,2,4.39,1
81,166,19,13,6.7,1
47,200,11,10,5.96,1
10,138,36,1,4.86,1
14,41,11,10,1.79,0
61,101,14,22,4.55,1
14,35,20,11,2.12,0
82,142,28,10,6.7,1
9,111,22,20,3.59,1
82,129,23,24,6.19,1
68,113,11,16,4.85,1
70,96,19,11,4.97,1
95,193,30,20,8.21,1
48,132,34,17,5.78,1
83,185,5,13,6.44,1
10,65,22,7,2.7,0
75,54,15,2,4.08,1
11,62,19,22,2.52,0
74,61,22,23,4.54,1
9,86,44,8,4.19,1
59,85,9,11,3.92,1
34,111,5,12,3.49,0
63,160,45,9,7.34,1
5,161,27,17,4.72,1
89,129,10,3,5.75,1
51,178,26,2,6.39,1
48,115,16,22,4.54,1
61,160,42,16,7.13,1
86,121,15,4,5.75,1
91,85,16,3,5.23,1
74,121,32,1,6.24,1
84,180,30,8,7.62,1
87,159,1,10,5.84,1
94,53,43,9,6.03,1
53,89,9,23,3.82,1
80,137,30,20,6.64,1
52,134,37,13,6.09,1
22,129,24,17,4.44,1
77,192,21,19,7.2,1
82,96,19,1,5.33,1
33,154,11,8,4.62,1
64,38,50,9,5.18,1
31,174,39,9,6.36,1
18,145,2,6,3.54,1
7,129,30,15,4.29,1
24,189,32,8,6.1,1
68,170,10,7,5.94,1
19,180,14,4,4.87,1
13,88,37,22,4.0,1
58,39,2,18,2.62,0
44,20,19,22,2.67,0
60,137,10,20,5.04,1
81,22,14,7,3.57,1
59,47,7,7,3.06,0
57,183,10,24,5.87,1
50,103,34,8,5.26,1
30,71,5,13,2.57,0
43,192,24,9,6.33,1
41,125,40,10,5.73,1
8,122,36,2,4.48,1
9,100,35,14,4.02,1
41,160,24,16,5.63,1
77,94,40,6,6.19,1
14,40,7,9,1.57,0
29,79,43,24,4.6,1
44,158,23,7,5.63,1
6,153,30,3,4.74,1
33,111,47,10,5.56,1
61,151,34,13,6.55,1
55,159,16,19,5.63,1
20,103,30,5,4.16,1
85,73,44,10,6.21,1
84,114,24,19,6.0,1
32,80,22,6,3.66,1
55,141,34,13,6.17,1
77,95,43,3,6.36,1
8,104,12,22,2.92,0
26,76,8,23,2.7,0
91,53,39,4,5.74,1
79,76,17,16,4.74,1
8,86,44,8,4.16,1
42,82,13,8,3.55,1
87,148,33,4,7.22,1
57,175,36,19,7.01,1
88,95,28,20,5.94,1
64,65,46,23,5.52,1
29,99,8,8,3.25,0
59,20,1,17,2.22,0
45,91,26,19,4.47,1
60,113,31,12,5.61,1
79,158,1,10,5.58,1
84,141,40,4,7.34,1
70,40,4,15,3.1,0
34,138,12,16,4.38,1
92,20,13,10,3.81,1
58,133,13,13,5.05,1
77,168,45,23,7.92,1
70,29,33,9,4.33,1
11,127,29,19,4.32,1
21,162,47,18,6.22,1
35,145,36,20,5.75,1
60,35,22,16,3.6,1
95,112,13,10,5.74,1
36,98,14,24,3.74,1
16,71,35,3,3.65,1
13,151,48,4,5.81,1
5,47,42,13,3.19,0
18,122,31,14,4.53,1
94,100,44,9,7.02,1
58,26,46,16,4.56,1
73,147,14,18,5.83,1
76,126,45,23,7.05,1
85,97,17,20,5.34,1
86,189,46,13,8.66,1
75,29,1,17,2.88,0
19,56,24,17,2.89,0
14,129,32,1,4.6,1
13,75,39,9,3.84,1
35,137,19,10,4.74,1
18,125,48,18,5.44,1
38,123,32,18,5.2,1
34,145,2,3,4.02,1
75,110,17,20,5.3,1
64,97,50,21,6.36,1
44,37,34,13,3.76,1
63,106,18,2,4.91,1
81,157,4,17,5.77,1
91,128,17,5,6.14,1
32,87,40,9,4.7,1
89,113,44,15,7.13,1
73,113,43,15,6.6,1
81,34,3,12,3.26,0
36,137,30,12,5.32,1
78,147,36,4,7.08,1
56,39,10,7,2.96,0
28,155,49,6,6.39,1
60,55,26,15,4.2,1
59,160,49,6,7.42,1
48,33,42,12,4.2,1
84,35,22,8,4.32,1
27,35,18,10,2.41,0
23,177,42,6,6.33,1
49,104,10,13,4.05,1
52,83,36,13,5.02,1
70,120,44,15,6.7,1
54,100,43,13,5.77,1
26,81,2,19,2.5,0
20,113,37,1,4.71,1
63,91,40,16,5.71,1
74,90,16,6,4.82,1
73,172,29,8,7.08,1
87,179,30,1,7.69,1
90,34,43,13,5.53,1
26,153,45,21,6.09,1
25,192,39,11,6.54,1
13,60,44,2,3.79,1
71,28,44,3,4.89,1
46,146,39,12,6.25,1
41,171,12,24,5.25,1
29,63,9,13,2.58,0
14,75,43,9,4.07,1
95,78,24,24,5.61,1
83,126,48,2,7.41,1
79,165,9,21,6.12,1
30,176,40,11,6.42,1
9,101,25,23,3.54,1
91,152,34,15,7.47,1
75,64,50,21,6.03,1
63,92,47,16,6.08,1
15,167,36,7,5.59,1
50,148,5,5,4.71,1
66,154,7,8,5.41,1
41,35,37,5,3.78,1
75,102,23,6,5.44,1
29,84,17,2,3.4,0
51,20,32,5,3.53,1
47,98,38,20,5.27,1
76,137,13,24,5.67,1
20,72,26,2,3.34,0
89,54,20,5,4.75,1
88,156,36,17,7.56,1
81,108,19,12,5.54,1
73,186,6,21,6.21,1
80,133,28,18,6.46,1
63,114,30,10,5.67,1
42,52,45,4,4.55,1
10,146,39,8,5.17,1
73,23,30,15,4.15,1
7,155,22,1,4.41,1
23,104,34,11,4.47,1
85,166,5,12,6.12,1
44,134,31,7,5.55,1
13,27,44,11,3.13,0
51,82,19,20,4.12,1
92,155,35,21,7.61,1
23,35,26,19,2.69,0
8,177,9,10,4.23,1
90,33,4,12,3.56,1
5,175,33,12,5.3,1
40,54,11,6,2.83,0
37,72,2,22,2.65,0
52,188,47,16,7.67,1
19,143,23,8,4.58,1
74,127,2,9,4.86,1
27,44,7,18,2.04,0
74,192,7,12,6.41,1
20,194,29,23,5.93,1
75,183,5,7,6.16,1
26,168,5,21,4.39,1
8,117,49,2,5.03,1
50,147,45,22,6.69,1
39,186,5,9,5.14,1
88,89,38,5,6.32,1
27,163,18,17,4.97,1
52,190,6,12,5.66,1
70,47,29,2,4.49,1
35,151,43,23,6.22,1
92,58,25,14,5.17,1
30,56,41,19,4.07,1
65,98,36,3,5.71,1
45,125,17,1,4.7,1
75,86,23,8,5.12,1
53,148,25,20,5.8,1
38,191,35,7,6.71,1
50,97,18,6,4.34,1
84,99,33,20,6.15,1
8,186,5,12,4.21,1
17,20,13,21,1.56,0
31,57,28,4,3.47,0
5,38,15,17,1.66,0
38,105,40,16,5.24,1
35,121,30,24,4.97,1
41,173,17,19,5.54,1
76,55,34,10,5.08,1
78,106,40,10,6.46,1
5,147,37,4,4.94,1
66,99,40,19,5.96,1
5,173,6,21,3.91,1
48,178,43,22,7.15,1
32,200,42,3,7.06,1
24,72,16,2,2.96,0
70,75,34,7,5.3,1
76,82,3,18,4.07,1
79,81,46,4,6.29,1
52,58,2,19,2.82,0
87,193,6,5,6.77,1
31,179,24,24,5.71,1
31,25,6,7,1.73,0
87,100,35,11,6.36,1
27,67,33,5,3.8,1
81,189,11,9,6.76,1
69,115,18,9,5.27,1
31,122,22,10,4.47,1
62,143,33,20,6.37,1
15,122,17,10,3.74,1
34,143,29,18,5.33,1
74,123,29,15,6.13,1
5,179,8,12,4.13,1
60,114,28,8,5.48,1
21,29,36,7,3.01,0
78,180,41,18,7.99,1
5,168,42,17,5.61,1
29,67,50,16,4.71,1
79,184,24,21,7.25,1
69,180,28,22,7.07,1
72,183,3,10,5.97,1
85,186,21,1,7.32,1
88,72,28,22,5.48,1
81,183,20,21,7.09,1
62,121,42,6,6.38,1
28,20,19,18,2.19,0
23,107,35,1,4.58,1
93,190,30,9,8.09,1
52,53,1,9,2.67,0
49,158,39,16,6.58,1
55,36,13,16,3.02,0
89,193,48,15,8.93,1
69,83,27,2,5.08,1
19,86,34,16,3.99,1
6,118,13,24,3.19,0
87,97,5,11,4.8,1
8,22,28,23,2.08,0
66,61,32,7,4.8,1
48,115,44,16,5.94,1
52,37,30,18,3.8,1
90,143,44,17,7.76,1
70,61,8,10,3.72,1
71,199,12,21,6.71,1
67,135,45,19,6.96,1
31,129,16,18,4.31,1
83,46,17,1,4.26,1
75,196,50,21,8.67,1
70,168,49,23,7.91,1
44,142,15,5,4.91,1
84,134,36,19,7.0,1
56,123,14,5,4.84,1
19,176,32,6,5.69,1
26,120,28,23,4.58,1
33,82,14,2,3.33,0
67,121,20,7,5.43,1
87,142,49,19,7.9,1
35,107,13,17,3.84,1
8,162,32,15,5.08,1
83,24,13,19,3.62,1
46,158,15,4,5.29,1
78,133,12,5,5.6,1
27,136,22,6,4.63,1
5,62,30,3,2.89,0
78,88,31,15,5.65,1
32,31,39,11,3.53,1
15,128,36,14,4.81,1
73,132,20,24,5.83,1
46,186,39,3,7.05,1
7,37,31,23,2.5,0
19,128,6,20,3.43,0
19,89,49,5,4.8,1
75,184,11,5,6.48,1
67,178,39,23,7.52,1
58,45,3,19,2.79,0
14,184,9,8,4.55,1
88,166,4,20,6.16,1
74,108,25,20,5.63,1
78,180,24,11,7.14,1
68,24,11,17,3.07,0
32,173,21,10,5.47,1
22,172,50,20,6.6,1
54,110,37,4,5.67,1
62,172,22,23,6.4,1
64,46,29,4,4.29,1
52,200,1,2,5.61,1
57,88,3,8,3.62,1
95,44,14,1,4.43,1
56,24,25,19,3.41,0
17,171,33,21,5.58,1
50,45,45,4,4.65,1
16,26,9,17,1.45,0
74,115,49,24,6.97,1
33,196,14,9,5.61,1
85,31,34,9,4.87,1
63,129,39,1,6.42,1
73,142,31,4,6.58,1
44,130,40,11,5.92,1
42,137,34,7,5.7,1
72,178,30,24,7.22,1
22,76,11,6,2.73,0
45,182,41,12,7.04,1
40,99,41,9,5.23,1
66,83,23,10,4.79,1
14,104,35,3,4.25,1
62,56,19,16,3.93,1
47,177,20,13,5.95,1
12,66,28,20,3.08,0
55,24,16,7,2.93,0
22,95,44,15,4.76,1
37,150,38,23,6.01,1
24,145,6,23,3.92,1
70,27,39,24,4.59,1
53,110,20,18,4.79,1
71,137,26,21,6.17,1
75,20,43,21,4.8,1
79,190,18,19,7.07,1
32,129,6,15,3.84,1
47,41,18,16,3.13,0
8,80,16,16,2.64,0
15,83,43,21,4.26,1
25,124,37,24,5.08,1
42,147,10,19,4.7,1
81,129,33,6,6.66,1
80,199,15,13,7.13,1
35,70,16,12,3.25,0
83,102,21,4,5.58,1
90,171,35,18,7.87,1
13,42,25,11,2.48,0
10,140,41,2,5.15,1
9,126,34,6,4.49,1
6,177,40,17,5.72,1
14,54,33,4,3.15,0
72,157,37,9,7.15,1
49,142,49,6,6.76,1
51,21,12,3,2.55,0
93,36,45,6,5.76,1
86,145,46,19,7.78,1
92,63,2,1,4.12,1
23,33,45,14,3.6,1
79,34,18,19,3.95,1
19,54,15,19,2.4,0
91,160,31,16,7.48,1
77,65,18,8,4.51,1
58,170,34,9,6.84,1
20,81,45,6,4.47,1
43,50,16,21,3.09,0
7,117,48,8,4.95,1
76,149,19,17,6.21,1
70,198,30,11,7.56,1
43,47,21,3,3.28,0
89,91,39,11,6.44,1
